Id;Marker;X;Y
0;1;0.0000000000000000e+00;0.0000000000000000e+00
1;2;1.0000000000000000e+00;0.0000000000000000e+00
2;3;1.0000000000000000e+00;1.0000000000000000e+00
3;4;0.0000000000000000e+00;1.0000000000000000e+00
4;0;5.0000000000000000e-01;5.0000000000000000e-01
5;8;0.0000000000000000e+00;5.0000000000000000e-01
6;5;5.0000000000000000e-01;0.0000000000000000e+00
7;6;1.0000000000000000e+00;5.0000000000000000e-01
8;7;5.0000000000000000e-01;1.0000000000000000e+00
9;0;7.5000000000000000e-01;2.5000000000000000e-01
10;0;2.5000000000000000e-01;7.5000000000000000e-01
11;0;7.5000000000000000e-01;7.5000000000000000e-01
12;0;5.0000000000000000e-01;2.5000000000000000e-01
13;0;2.5000000000000000e-01;3.7500000000000000e-01
14;0;3.1250000000000000e-01;5.6250000000000000e-01
15;8;0.0000000000000000e+00;2.5000000000000000e-01
16;5;7.5000000000000000e-01;0.0000000000000000e+00
17;6;1.0000000000000000e+00;2.5000000000000000e-01
18;0;7.5000000000000000e-01;5.0000000000000000e-01
19;0;5.0000000000000000e-01;7.5000000000000000e-01
20;7;2.5000000000000000e-01;1.0000000000000000e+00
21;8;0.0000000000000000e+00;7.5000000000000000e-01
22;6;1.0000000000000000e+00;7.5000000000000000e-01
23;7;7.5000000000000000e-01;1.0000000000000000e+00
24;5;2.5000000000000000e-01;0.0000000000000000e+00
25;0;3.1250000000000000e-01;1.8750000000000000e-01
26;8;0.0000000000000000e+00;1.9685262426734648e-01
27;0;2.8853109480715372e-02;2.2114689051928463e-01
28;0;4.5222872889238820e-03;2.0066038202525135e-01
29;0;5.1005247153225637e-02;2.3979895056935485e-01
30;0;1.5540250126154723e-01;3.2770125063077360e-01
31;0;2.2589253524728004e-01;3.8705373237635987e-01
32;0;2.6499172721319392e-01;4.1997518163958159e-01
33;0;3.9972895222232935e-01;5.3342368259255679e-01
34;0;5.0000000000000000e-01;6.1785172435005631e-01
35;0;6.5694603102949822e-01;7.4999999999999989e-01
36;0;5.5805298898278410e-01;6.6673223658778347e-01
37;0;2.8445271772283992e-01;2.7164184683148024e-01
38;0;3.9824525254123622e-01;3.0087737372938189e-01
39;0;3.2534819064910903e-01;2.8214869335393827e-01
40;0;5.0000000000000000e-01;3.2702015770960963e-01
41;0;6.3762204766330133e-01;3.6237795233669878e-01
42;0;7.5000000000000000e-01;3.9125004533923136e-01
43;0;9.4008715064134607e-01;4.4008715064134585e-01
44;0;8.6824582429715513e-01;4.2162970936834443e-01
45;0;9.2295392040300828e-01;4.3568528882958241e-01
46;0;7.1261148580268929e-01;5.0000000000000000e-01
47;0;7.3401652923235894e-01;7.3401652923235894e-01
48;0;7.3267018596300393e-01;7.1929726084661538e-01
49;0;7.3547850667070691e-01;7.5000000000000000e-01
50;0;7.3669544849804613e-01;7.6330455150195387e-01
51;0;7.5000000000000000e-01;9.0876022299873760e-01
52;7;7.5834552753872453e-01;1.0000000000000000e+00
53;0;7.5136703846574160e-01;9.2370574731552313e-01
54;0;9.7903599539417407e-01;5.0000000000000000e-01
55;0;9.6377909112710292e-01;5.3622090887289708e-01
56;0;9.6425686402444577e-01;5.3508664413126494e-01
57;0;8.7373145761594473e-01;7.5000000000000000e-01
58;0;8.3706014450987265e-01;8.3706014450987287e-01
59;7;7.6842691983771549e-01;1.0000000000000000e+00
60;0;7.9253683602089842e-01;9.4276145004795930e-01
61;0;5.4938697395608926e-01;9.5061302604391062e-01
62;0;6.1912624126860594e-01;7.4999999999999989e-01
63;0;5.7471282806932589e-01;8.7776029290527124e-01
64;0;6.2768970101897203e-01;7.2536622278769136e-01
65;0;6.5288604382493043e-01;6.5288604382493043e-01
66;0;7.0603394198946035e-01;5.0000000000000000e-01
67;0;6.9711875530312073e-01;5.2564556021040953e-01
68;0;7.4434393685561162e-01;3.8979689213847091e-01
69;0;7.2322011167333466e-01;4.5056200560674164e-01
70;0;5.0000000000000000e-01;1.0229914090279686e-02
71;0;7.1461929233082522e-01;2.5000000000000000e-01
72;0;5.4739536091098351e-01;6.3179439894472916e-02
73;0;6.3630198246187897e-01;1.6250484561961093e-01
74;0;7.3133047178560173e-01;2.6866952821439832e-01
75;0;7.5000000000000000e-01;2.8952690005290049e-01
76;0;9.3839542720241509e-01;5.0000000000000000e-01
77;0;9.2965115230979922e-01;4.9023100151225507e-01
78;6;1.0000000000000000e+00;9.6689131968698661e-01
79;0;9.6466878591388994e-01;9.6466878591389005e-01
80;0;9.6983538706313599e-01;9.6499379443237265e-01
81;0;7.8799051460208402e-01;9.5355472048704726e-01
82;0;8.8017001276843720e-01;9.5935333378582888e-01
83;0;4.2092592395723416e-01;9.2092592395723416e-01
84;0;5.0000000000000000e-01;8.0775705788342589e-01
85;0;4.9548283242410179e-01;8.1422191663376142e-01
86;0;5.4035638197613300e-01;7.5000000000000000e-01
87;0;5.8354194339310239e-01;6.8819389032536982e-01
88;0;6.2658776821577700e-01;6.2658776821577689e-01
89;0;7.1289236258716160e-01;5.0307076276019291e-01
90;0;7.1503798564085919e-01;5.0000000000000000e-01
91;0;7.1503440836213272e-01;5.0000511971302564e-01
92;8;0.0000000000000000e+00;2.6650715164012057e-01
93;0;1.7420351406448831e-01;3.4353166957213693e-01
94;0;1.4882298193351505e-02;2.7308739687925548e-01
95;0;1.6673735630080913e-01;3.4023048930812183e-01
96;0;5.0000000000000000e-01;4.0078093245997801e-02
97;0;5.5523609069885504e-01;8.9691276238156148e-02
98;0;7.3371339595311502e-01;2.4999999999999997e-01
99;0;7.4229341092738355e-01;2.5770658907261634e-01
100;0;7.5000000000000000e-01;2.6462866500281995e-01
101;0;8.9370327756519985e-01;3.9370327756519963e-01
102;0;7.7591577813770429e-01;2.8790627619619774e-01
